Cycle,LightID,Lux,Motion,Expected,Actual,Brightness,Power,Fault
Cycle,LightID,Lux,Motion,Expected,Actual,Brightness,Power,Fault
1,L01,89,YES,OFF,OFF,0,0,NO
1,L02,41,NO,DIM,DIM,40,27,NO
1,L03,67,NO,OFF,OFF,0,0,NO
1,L04,60,YES,OFF,OFF,0,0,NO
1,L05,32,NO,DIM,DIM,40,27,NO
1,L06,67,YES,OFF,DIM,40,27,YES
1,L07,1,YES,FULL,FULL,100,68,NO
1,L08,64,YES,OFF,OFF,0,0,NO
2,L01,9,NO,DIM,DIM,40,27,NO
2,L02,13,YES,FULL,FULL,100,68,NO
2,L03,84,NO,OFF,DIM,40,27,YES
2,L04,100,NO,OFF,OFF,0,0,NO
2,L05,97,YES,OFF,OFF,0,0,NO
2,L06,37,YES,FULL,FULL,100,68,NO
2,L07,3,YES,FULL,FULL,100,68,NO
2,L08,81,NO,OFF,OFF,0,0,NO
3,L01,5,YES,FULL,OFF,0,0,YES
3,L02,74,YES,OFF,OFF,0,0,NO
3,L03,87,YES,OFF,OFF,0,0,NO
3,L04,25,YES,FULL,FULL,100,68,NO
3,L05,87,YES,OFF,OFF,0,0,NO
3,L06,86,YES,OFF,OFF,0,0,NO
3,L07,13,NO,DIM,DIM,40,27,NO
3,L08,14,YES,FULL,FULL,100,68,NO
4,L01,41,YES,FULL,FULL,100,68,NO
4,L02,58,NO,OFF,DIM,40,27,YES
4,L03,83,YES,OFF,OFF,0,0,NO
4,L04,2,NO,DIM,DIM,40,27,NO
4,L05,100,YES,OFF,OFF,0,0,NO
4,L06,61,YES,OFF,OFF,0,0,NO
4,L07,13,NO,DIM,DIM,40,27,NO
4,L08,22,NO,DIM,DIM,40,27,NO
5,L01,47,YES,FULL,FULL,100,68,NO
5,L02,90,YES,OFF,OFF,0,0,NO
5,L03,94,YES,OFF,OFF,0,0,NO
5,L04,7,YES,FULL,FULL,100,68,NO
5,L05,98,NO,OFF,OFF,0,0,NO
5,L06,33,YES,FULL,FULL,100,68,NO
5,L07,24,YES,FULL,FULL,100,68,NO
5,L08,96,YES,OFF,OFF,0,0,NO
Cycle,LightID,Lux,Motion,Expected,Actual,Brightness,Power,Fault
1,L01,100,YES,OFF,OFF,0,0,NO
1,L02,22,YES,FULL,FULL,100,68,NO
1,L03,11,YES,FULL,FULL,100,68,NO
1,L04,49,YES,FULL,FULL,100,68,NO
1,L05,75,NO,OFF,OFF,0,0,NO
1,L06,66,NO,OFF,OFF,0,0,NO
1,L07,46,NO,DIM,DIM,40,27,NO
1,L08,14,YES,FULL,FULL,100,68,NO
2,L01,42,NO,DIM,DIM,40,27,NO
2,L02,48,YES,FULL,FULL,100,68,NO
2,L03,62,NO,OFF,OFF,0,0,NO
2,L04,35,YES,FULL,FULL,100,68,NO
2,L05,64,YES,OFF,OFF,0,0,NO
2,L06,89,NO,OFF,OFF,0,0,NO
2,L07,84,NO,OFF,OFF,0,0,NO
2,L08,75,YES,OFF,DIM,40,27,YES
3,L01,49,NO,DIM,DIM,40,27,NO
3,L02,76,YES,OFF,OFF,0,0,NO
3,L03,82,YES,OFF,OFF,0,0,NO
3,L04,82,YES,OFF,OFF,0,0,NO
3,L05,66,NO,OFF,OFF,0,0,NO
3,L06,38,NO,DIM,DIM,40,27,NO
3,L07,84,NO,OFF,OFF,0,0,NO
3,L08,7,NO,DIM,OFF,0,0,YES
4,L01,4,NO,DIM,DIM,40,27,NO
4,L02,3,YES,FULL,FULL,100,68,NO
4,L03,84,NO,OFF,OFF,0,0,NO
4,L04,68,NO,OFF,OFF,0,0,NO
4,L05,79,YES,OFF,OFF,0,0,NO
4,L06,13,NO,DIM,DIM,40,27,NO
4,L07,27,NO,DIM,DIM,40,27,NO
4,L08,75,YES,OFF,OFF,0,0,NO
5,L01,1,YES,FULL,FULL,100,68,NO
5,L02,89,NO,OFF,OFF,0,0,NO
5,L03,44,YES,FULL,FULL,100,68,NO
5,L04,93,YES,OFF,OFF,0,0,NO
5,L05,81,YES,OFF,OFF,0,0,NO
5,L06,16,YES,FULL,FULL,100,68,NO
5,L07,41,YES,FULL,FULL,100,68,NO
5,L08,81,NO,OFF,OFF,0,0,NO
